symbol,series,open,high,low,close,last,tottrdqty,timestamp,gain
SUZLONPP,E1,6.95,7.9,6.85,7.8,7.75,12034096,2022-12-12,0.12230221651755728
MHHL,SM,45.0,50.5,45.0,50.0,50.0,21000,2022-12-12,0.1111111111111111
DHANBANK,EQ,18.65,21.45,18.1,20.6,21.3,14526727,2022-12-12,0.1045576837975895
SUZLON,EQ,9.3,10.35,9.25,10.25,10.25,278382339,2022-12-12,0.10215051503026583
JSL,EQ,194.45,215.0,192.1,214.05,214.55,4519546,2022-12-12,0.10079715305283685
SALASAR,EQ,44.0,49.0,44.0,48.4,48.55,4963176,2022-12-12,0.10000003467906605
SEPC,EQ,11.5,12.85,11.45,12.65,12.7,7819487,2022-12-12,0.09999996682871944
ROSSELLIND,EQ,319.0,352.9,319.0,349.7,352.9,179545,2022-12-12,0.09623828278066222
SOFTTECH,EQ,130.95,143.5,130.95,143.4,143.4,2041,2022-12-12,0.09507443481012857
JPPOWER,EQ,7.6,8.4,7.6,8.3,8.3,265026290,2022-12-12,0.09210530195870277
HECPROJECT,EQ,35.4,40.4,31.2,38.5,39.9,21637,2022-12-12,0.08757057459036727
TEMBO,EQ,110.0,119.55,108.8,119.55,119.55,291237,2022-12-12,0.08681820956143466
VINNY,EQ,99.15,108.0,99.15,107.65,108.0,7525,2022-12-12,0.08572869257880379
TIPSFILMS,EQ,457.0,495.95,451.0,495.95,495.95,23981,2022-12-12,0.0852297860110093
WABAG,EQ,340.55,375.0,338.05,368.95,370.3,6460343,2022-12-12,0.08339458356206955
NELCAST,EQ,104.1,115.3,102.45,112.7,113.5,3112400,2022-12-12,0.08261285879133826
MGEL,EQ,33.3,36.45,32.7,36.05,35.4,2146653,2022-12-12,0.08258258447464
NFL,EQ,58.25,63.4,58.15,63.05,63.2,8382651,2022-12-12,0.08240342037872184
SBC,EQ,14.75,15.95,13.35,15.95,15.95,2447419,2022-12-12,0.08135591927221265
TOTAL,EQ,157.0,169.75,157.0,169.75,169.75,69104,2022-12-12,0.08121019108280254
TRACXN,EQ,87.7,101.75,86.1,94.75,94.9,6729272,2022-12-12,0.08038772288576596
VAISHALI,EQ,124.0,146.9,122.95,146.85,146.9,2299118,2022-12-09,0.1842742427702873
QUADPRO,SM,6.0,6.95,6.0,6.95,6.95,600000,2022-12-09,0.15833330154418945
YESBANK,EQ,17.7,20.5,17.65,19.7,19.85,1322003621,2022-12-09,0.1129943454119862
OPTIEMUS,EQ,327.15,378.75,327.15,363.4,362.75,1989228,2022-12-09,0.11080544299649321
SAGARDEEP,EQ,28.4,33.75,28.4,31.4,31.35,232385,2022-12-09,0.10563380423577812
CUBEXTUB,EQ,42.9,49.85,41.85,47.3,49.3,743366,2022-12-09,0.1025640455636673
AMJUMBO,ST,21.75,23.95,21.75,23.95,23.95,24000,2022-12-09,0.10114946036503233
ARENTERP,EQ,37.0,40.65,35.85,40.65,40.65,23987,2022-12-09,0.09864868988861909
LSIL,EQ,13.25,14.9,13.25,14.5,14.75,19116650,2022-12-09,0.09433962264150944
EXCEL,EQ,0.55,0.6,0.5,0.6,0.55,56638288,2022-12-09,0.09090911061310529
SONAMCLOCK,EQ,41.15,46.7,41.15,44.7,45.9,28668,2022-12-09,0.08626972309655884
JYOTISTRUC,BZ,14.1,15.3,14.1,15.3,15.25,421998,2022-12-09,0.08510636714891022
KAMATHOTEL,EQ,93.2,100.8,93.2,100.8,100.8,387973,2022-12-09,0.08154513253617618
AURDIS,SM,125.5,135.45,125.45,135.45,135.45,10000,2022-12-09,0.07928284420910109
KOTHARIPRO,EQ,126.2,140.65,126.2,136.15,136.0,94041,2022-12-09,0.07884308390532635
TRU,EQ,68.25,77.6,67.1,73.05,73.3,3858387,2022-12-09,0.07032971504407051
RHFL,N6,360.0,389.9,360.0,384.75,384.75,75,2022-12-09,0.06875
SREIBNPNCD,NV,141.3,151.0,141.3,151.0,151.0,20,2022-12-09,0.06864824302013005
JAYNECOIND,EQ,26.3,30.0,25.9,28.1,27.85,1497210,2022-12-09,0.06844111013785562
CROWN,EQ,43.75,52.4,43.75,46.65,46.9,354047,2022-12-09,0.06628574916294643
KOTAKLOVOL,EQ,13.0,13.96,13.0,13.86,13.85,1465,2022-12-09,0.06615381974440354
KRISHIVAL,SM,250.0,266.15,241.05,266.15,266.15,10000,2022-12-09,0.0645999755859375
HEADSUP,EQ,12.85,14.5,12.3,13.65,13.75,263073,2022-12-09,0.06225674811762507
RICHA,SM,99.0,105.05,99.0,105.05,105.05,2000,2022-12-09,0.061111141936947604
JMCPROJECT,EQ,125.9,135.0,125.85,133.3,134.65,1295119,2022-12-09,0.0587768183970818
NIFTYBEES,EQ,176.5,203.8,176.5,203.62,203.8,1374081,2022-12-08,0.15365436327018414
SIMPLEXINF,EQ,61.75,71.45,60.1,70.65,69.85,891869,2022-12-08,0.14412957936646
TRU,EQ,59.45,70.6,58.9,67.85,67.0,1947943,2022-12-08,0.14129516574233783
DIGISPICE,EQ,25.35,29.6,25.2,28.9,29.2,1812691,2022-12-08,0.14003941552819524
